id,placed_at,starts_at,sport,event,event_id,bet_id,market,selection,odds_nike,odds_close,p_est_low,p_est_high,edge,ev,stake,confidence,factors,note,result,pnl,settled_at
19,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Wolf J.J. vs Ambrogi L.E.,1017779142,931778850,Víťaz zápasu,Ambrogi L.E.,8.6,,0.043699999999999996,0.1333,-0.07257906976744186,-0.6241800000000001,0.0,low,exchange-consensus,spread 0.0896; fair 0.0885,,,
20,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Blinkova A. vs Lee C.Y.,1017765529,931645770,Víťaz zápasu,Lee C.Y.,1.93,,0.4782,0.5018,-0.039934715025906786,-0.07707399999999998,0.0,high,exchange-consensus,spread 0.0236; fair 0.4900,,,
21,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Gray A. vs Maloney P.,1017779137,931779190,Víťaz zápasu,Maloney P.,2.75,,0.31645,0.35195,-0.04718636363636364,-0.1297625,0.0,medium,exchange-consensus,spread 0.0355; fair 0.3342,,,
22,2026-09-14T20:36:24+02:00,2026-09-14T21:30,tennis,Maria T. vs Townsend T.,1017747005,931511345,Víťaz zápasu,Townsend T.,1.32,,0.7143,0.7407,-0.04327575757575752,-0.05712399999999984,0.0,high,exchange-consensus,spread 0.0264; fair 0.7275,,,
23,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Valdmannova V. vs Pigossi L.,1017765540,931647370,Víťaz zápasu,Pigossi L.,4.0,,0.2039,0.2347,-0.0461,-0.1844,0.0,medium,exchange-consensus,spread 0.0308; fair 0.2193,,,
24,2026-09-14T20:36:24+02:00,2026-09-14T22:30,tennis,Bouzas Maneiro J. vs Salkova D.,1017765530,931645865,Víťaz zápasu,Salkova D.,3.6,,0.22545,0.26535000000000003,-0.05232777777777778,-0.18838,0.0,medium,exchange-consensus,spread 0.0399; fair 0.2454,,,
25,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Stefanini L. vs Podoroska N.,1017765538,931647117,Víťaz zápasu,Podoroska N.,2.75,,0.2869,0.3743,-0.07673636363636366,-0.21102500000000002,0.0,low,exchange-consensus,spread 0.0874; fair 0.3306,,,
26,2026-09-14T20:36:24+02:00,2026-09-14T20:50,tennis,Cassone M. vs Montes-de La Torre I.,1017765518,931634474,Víťaz zápasu,Cassone M.,2.33,,0.38115,0.40705,-0.0480345493562232,-0.11192049999999998,0.0,high,exchange-consensus,spread 0.0259; fair 0.3941,,,
27,2026-09-14T20:36:24+02:00,2026-09-14T23:10,tennis,Boyer T. vs Winter E.,1017779135,931779172,Víťaz zápasu,Boyer T.,1.47,,0.60205,0.68815,-0.07822210884353742,-0.1149865000000001,0.0,low,exchange-consensus,spread 0.0861; fair 0.6451,,,
28,2026-09-14T20:36:24+02:00,2026-09-15T01:00,tennis,Sell K. vs Mmoh M.,1017779140,931779471,Víťaz zápasu,Sell K.,3.95,,0.1643,0.2643,-0.08886455696202528,-0.35101499999999997,0.0,low,exchange-consensus,spread 0.1000; fair 0.2143,,,
29,2026-09-14T20:36:24+02:00,2026-09-15T05:00,tennis,Weber A. vs Matsuda K.,1017757022,932219261,Víťaz zápasu,Weber A.,1.4,,0.6592,0.6916,-0.05508571428571429,-0.07712000000000008,0.0,medium,exchange-consensus,spread 0.0324; fair 0.6754,,,
30,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Stoiana M. vs Liu Cl.,1017765539,931647529,Víťaz zápasu,Liu Cl.,1.74,,0.5236,0.547,-0.05111264367816093,-0.08893600000000013,0.0,high,exchange-consensus,spread 0.0234; fair 0.5353,,,
31,2026-09-14T20:36:24+02:00,2026-09-15T02:30,tennis,Jacquemot E. vs Samsonova Liudmila,1017747003,931510537,Víťaz zápasu,Jacquemot E.,4.2,,0.17925000000000002,0.21775,-0.05884523809523806,-0.24714999999999987,0.0,medium,exchange-consensus,spread 0.0385; fair 0.1985,,,
32,2026-09-14T20:36:24+02:00,2026-09-15T01:00,tennis,Sell K. vs Mmoh M.,1017779140,931779471,Víťaz zápasu,Mmoh M.,1.21,,0.7356999999999999,0.8357,-0.09074628099173565,-0.1098030000000001,0.0,low,exchange-consensus,spread 0.1000; fair 0.7857,,,
33,2026-09-14T20:36:24+02:00,2026-09-14T21:30,tennis,Arango E./Udvardy P. vs Cavalle-Reimers Y./Salden L.,1017733645,932065723,Víťaz zápasu,Cavalle-Reimers Y./Salden L.,1.8,,0.46745000000000003,0.5619500000000001,-0.08810555555555555,-0.1585899999999999,0.0,low,exchange-consensus,spread 0.0945; fair 0.5147,,,
34,2026-09-14T20:36:24+02:00,2026-09-14T21:30,tennis,Arango E./Udvardy P. vs Cavalle-Reimers Y./Salden L.,1017733645,932065723,Víťaz zápasu,Arango E./Udvardy P.,1.9,,0.43805,0.53255,-0.08826578947368419,-0.1677050000000001,0.0,low,exchange-consensus,spread 0.0945; fair 0.4853,,,
35,2026-09-14T20:36:24+02:00,2026-09-15T10:40,tennis,Matsuoka H. vs Harris L.,1017756205,931443621,Víťaz zápasu,Harris L.,1.18,,0.78905,0.82135,-0.05840762711864411,-0.06892100000000001,0.0,medium,exchange-consensus,spread 0.0323; fair 0.8052,,,
36,2026-09-14T20:36:24+02:00,2026-09-15T10:40,tennis,Matsuoka H. vs Harris L.,1017756205,931443621,Víťaz zápasu,Matsuoka H.,4.2,,0.17865,0.21095,-0.05944523809523808,-0.24966999999999995,0.0,medium,exchange-consensus,spread 0.0323; fair 0.1948,,,
37,2026-09-14T20:36:24+02:00,2026-09-14T23:10,tennis,Boyer T. vs Winter E.,1017779135,931779172,Víťaz zápasu,Winter E.,2.5,,0.31185,0.39794999999999997,-0.08815,-0.220375,0.0,low,exchange-consensus,spread 0.0861; fair 0.3549,,,
38,2026-09-14T20:36:24+02:00,2026-09-14T20:50,tennis,Cassone M. vs Montes-de La Torre I.,1017765518,931634474,Víťaz zápasu,Montes-de La Torre I.,1.53,,0.59295,0.61885,-0.0606447712418301,-0.0927865,0.0,high,exchange-consensus,spread 0.0259; fair 0.6059,,,
39,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Gray A. vs Maloney P.,1017779137,931779190,Víťaz zápasu,Gray A.,1.4,,0.6480499999999999,0.68355,-0.0662357142857144,-0.0927300000000002,0.0,medium,exchange-consensus,spread 0.0355; fair 0.6658,,,
40,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Wolf J.J. vs Ambrogi L.E.,1017779142,931778850,Víťaz zápasu,Wolf J.J.,1.04,,0.8667,0.9562999999999999,-0.09483846153846143,-0.09863199999999994,0.0,low,exchange-consensus,spread 0.0896; fair 0.9115,,,
41,2026-09-14T20:36:24+02:00,2026-09-14T22:30,tennis,Riera J. vs Avanesyan E.,1017765536,931646855,Víťaz zápasu,Riera J.,2.08,,0.41585,0.44195,-0.06491923076923073,-0.13503199999999993,0.0,high,exchange-consensus,spread 0.0261; fair 0.4289,,,
42,2026-09-14T20:36:24+02:00,2026-09-15T10:00,tennis,Piraino G. vs Pieri S.,1017763927,931626415,Víťaz zápasu,Pieri S.,2.0,,0.39405,0.48755000000000004,-0.10594999999999999,-0.21189999999999998,0.0,low,exchange-consensus,spread 0.0935; fair 0.4408,,,
43,2026-09-14T20:36:24+02:00,2026-09-15T05:00,tennis,Weber A. vs Matsuda K.,1017757022,932219261,Víťaz zápasu,Matsuda K.,2.6,,0.3084,0.3408,-0.07621538461538457,-0.19816,0.0,medium,exchange-consensus,spread 0.0324; fair 0.3246,,,
44,2026-09-14T20:36:24+02:00,2026-09-14T23:00,tennis,Panova A./Sorribes Tormo S. vs Gleason Q./Piter K.,1017733652,932067604,Víťaz zápasu,Panova A./Sorribes Tormo S.,1.75,,0.46399999999999997,0.5566,-0.10742857142857143,-0.18800000000000006,0.0,low,exchange-consensus,spread 0.0926; fair 0.5103,,,
45,2026-09-14T20:36:24+02:00,2026-09-15T15:40,tennis,Cadenasso G. vs Forti F.,1017763922,931626540,Víťaz zápasu,Forti F.,1.6,,0.54565,0.57395,-0.07935000000000003,-0.12695999999999996,0.0,high,exchange-consensus,spread 0.0283; fair 0.5598,,,
46,2026-09-14T20:36:24+02:00,2026-09-15T21:00,tennis,Leme Da Silva N.V. vs Sharma A.,1017765534,931646367,Víťaz zápasu,Leme Da Silva N.V.,1.8,,0.4331,0.5331,-0.1224555555555556,-0.22042000000000006,0.0,low,exchange-consensus,spread 0.1000; fair 0.4831,,,
47,2026-09-14T20:36:24+02:00,2026-09-14T22:00,tennis,Shelbayh A. vs Zink T.,1017779141,931779269,Víťaz zápasu,Shelbayh A.,1.41,,0.61635,0.64845,-0.09286985815602844,-0.13094650000000008,0.0,medium,exchange-consensus,spread 0.0321; fair 0.6324,,,
48,2026-09-14T20:36:24+02:00,2026-09-14T23:40,tennis,Ovcharenko E./Pigossi L. vs Stoiana M./Valdmannova V.,1017767086,931898148,Víťaz zápasu,Ovcharenko E./Pigossi L.,2.26,,0.2039,0.2347,-0.23857787610619471,-0.539186,0.0,medium,exchange-consensus,spread 0.0308; fair 0.2193,,,
49,2026-09-14T20:36:35+02:00,2026-09-15T11:35,darts,Howson R. vs Chrysospathis P.,1017700188,932315489,Víťaz zápasu,Chrysospathis P.,3.15,,0.27395,0.33885,-0.043510317460317416,-0.13705749999999994,0.0,low,exchange-consensus,spread 0.0649; fair 0.3064,,,
50,2026-09-14T20:36:35+02:00,2026-09-15T13:35,darts,Howson R. vs Leung Kai Fan,1017700191,932315591,Víťaz zápasu,Howson R.,1.61,,0.5316500000000001,0.63135,-0.08946801242236013,-0.14404349999999988,0.0,low,exchange-consensus,spread 0.0997; fair 0.5815,,,
51,2026-09-14T20:36:35+02:00,2026-09-15T13:35,darts,Howson R. vs Leung Kai Fan,1017700191,932315591,Víťaz zápasu,Leung Kai Fan,2.18,,0.36865,0.46835,-0.09006559633027522,-0.19634299999999993,0.0,low,exchange-consensus,spread 0.0997; fair 0.4185,,,
52,2026-09-14T20:36:35+02:00,2026-09-15T11:35,darts,Howson R. vs Chrysospathis P.,1017700188,932315489,Víťaz zápasu,Howson R.,1.31,,0.66115,0.72605,-0.10220877862595412,-0.1338935,0.0,low,exchange-consensus,spread 0.0649; fair 0.6936,,,
